ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
352,雪琪优选,xqyxxueqi,182793,male,种草,2,77986,2988,15.1w,1493.00 ,14.93 ,4.97,18,9,10天23时40分59秒
353,小花妞,2046472201,7871185,female,美食,10,315857,6525,105.7w,1491.80 ,14.92 ,4.72,88,397,29天17时5分6秒
354,航航家 上午10点大浮力,666888hang..,111966,female,穿搭,4,273730,6136,13.6w,1481.40 ,14.81 ,4.94,27,603,7天14时22分53秒
355,白玉世家（上午6点开播）,baiyushijia1987,539040,female,文学艺术,16,52675,1101,2.5w,1481.20 ,14.81 ,4.99,45,13141,23天12时25分23秒
356,军宇服装贸易,xuefuren8899,210544,female,穿搭,4,135578,12230,24.2w,1480.80 ,14.81 ,1.96,33,1434,4天7时49分53秒
357,头号卖家,shumafen,66383,female,科技,1,28951,2173,9335,1477.40 ,14.77 ,3.81,45,192,11天5时22分44秒
358,美谁妹妹,meishuimeimei,1535542,female,网红美女,7,713797,26899,28.7w,1465.50 ,14.66 ,4.90,16,214,2天20时23分35秒
359,斯凯奇SKECHERS运动专卖店,SKECHERS8888,1592383,female,穿搭,4,187859,3082,5.4w,1161.60 ,11.62 ,4.87,74,199,22天19时23分27秒
360,手镯之家,shouzhuozhijia,178989,female,时尚,0,60519,3033,2670,1453.80 ,14.54 ,4.94,31,4159,8天20时4分40秒
361,薇诺娜,WNN_WINONA,651018,female,美妆,6,118560,12134,8.4w,1452.00 ,14.52 ,4.85,39,93,14天15时42分4秒
362,春哥严选家具（今晚21:00直播）,changehome,98474,female,家居,19,100619,4356,1.1w,1450.50 ,14.51 ,3.65,20,784,4天9时19分17秒
363,我才是孙怡,190745542,11079965,female,明星,3,5663464,91131,11.3w,1450.30 ,14.50 ,4.97,1,56,6时4分50秒
361,崔佳楠,sayi_,5211119,male,美妆,6,196081,7503,13.4w,1447.70 ,14.48 ,4.94,8,174,2天13时28分50秒
365,阿姐家大麦 12点直播,AJJ20188888,1528442,female,穿搭,4,171367,1260,10.0w,1441.40 ,14.41 ,4.80,30,153,7天13时12分32秒
366,一万李·国潮珠宝,1077444021,29292,male,,31,29767,700,3.3w,1440.10 ,14.40 ,4.59,22,3240,4天10时49分53秒
367,森迪大牌服饰,sendi530,1168259,female,穿搭,4,177524,2575,8.8w,1138.60 ,11.39 ,4.77,43,24048,23天9时26分13秒
368,FIVE PLUS,FIVEPLUSFASHION,335544,female,穿搭,4,106511,1452,7.0w,1131.60 ,11.32 ,4.94,50,301,19天4时11分49秒
369,黄加蓝Lora：新品准备中，周二大上新,22892643,730046,female,网红美女,7,299929,6637,13.2w,1424.70 ,14.25 ,4.89,19,362,4天8时24分49秒
370,轻刻旅行,qinkertravel,546734,female,旅行,25,38466,1436,1.1w,1422.60 ,14.23 ,4.86,33,191,15天7时2分55秒
371,娘娘来了（晚6点娘娘小号包包浮力专场啦),NNLL0798,1321424,female,穿搭,4,344859,12698,19.5w,1119.60 ,11.20 ,4.71,14,553,2天9时53分3秒
372,深哥家具（今晚8点半百年胡桃),1858901117,66110,female,家居,19,111908,7074,1.1w,1419.20 ,14.19 ,3.76,20,571,2天16时18分5秒
373,小花奢侈品青青Ginger,dy7qfgww5tfx,81222,female,时尚,0,19490,637,2909,1413.80 ,14.14 ,4.46,36,1535,5天19时11分29秒
374,丹妮茶叶,dyfiyt1k1g74,469608,female,生活,5,131581,6949,11.3w,1411.20 ,14.11 ,4.75,26,103,6天12时18秒
375,郭幂幂（下午3点直播）,YUJIE6616,756009,female,穿搭,4,205574,3671,11.8w,1410.00 ,14.10 ,4.92,24,398,4天11时17分1秒
376,小范的海鲜美食,85587700fan,3804589,male,美食,10,114115,1487,18.7w,1408.50 ,14.09 ,5.00,49,42,19天23时9分45秒
377,LYNEE设计师品牌服装,LYNEE7799,497537,female,穿搭,4,38553,1144,3.0w,1407.00 ,14.07 ,4.99,49,286,13天16时31分7秒
378,霜霜大人（今晚7点05分直播大上新）,ss324324,111335,female,穿搭,4,68782,1682,6.1w,1405.50 ,14.06 ,4.98,23,451,4天9时58分5秒
379,完美日记,PERFECTDIARY,1536066,female,美妆,6,294954,3505,18.8w,1389.20 ,13.89 ,5.00,33,73,20天32分34秒
380,浣溪沙真丝香云纱,HXRRXH,136991,female,穿搭,4,28035,725,2.1w,1387.30 ,13.87 ,5.00,97,100,19天6时55分11秒
381,歌德老酒行官方旗舰店,gdljh,82813,female,生活,5,100933 ,3095,5333,1386.40 ,13.86 ,4.86,31,140,8天1时25分6秒
382,娄艺潇,142152200,21127007,female,明星,3,5029439,35753,13.7w,1382.80 ,13.83 ,4.62,2,126,14时35分43秒
383,郭大千金,daqianjin0000005,122827,female,生活,5,97453,16439,3.7w,1381.50 ,13.82 ,4.06,55,211,3天10时41分36秒
384,本木工艺品2店,Daz2021,374304,female,种草,2,233155,4544,25.3w,1376.90 ,13.77 ,4.73,31,2722,5天11时44分5秒
385,小惠好物优选,946097766,482015,female,时尚,0,116932,2661,19.9w,1376.30 ,13.76 ,4.23,31,10,21天21时34分33秒
386,海澜之家,HLA66666,3059480,male,穿搭,4,306727,23745,18.0w,1375.00 ,13.75 ,4.88,59,267,20天23时51秒
387,方琼,99fangqiong,10051949,female,明星,3,1105842,18953,12.4w,1370.50 ,13.71 ,4.73,7,153,1天13时1分4秒
388,薛之谦,717XUEJOKER,30889609,male,明星,3,12748163,137702,10.3w,1366.30 ,13.66 ,4.79,1,58,5时33分5秒
389,老male人说奢侈品鉴定-真相揭秘,4006680681ANJ,2063755,male,时尚,0,59665,2198,1067,1364.60 ,13.65 ,4.98,32,1771,6天22时57分29秒
390,梦婷教穿搭卓格电子商务商行,hmt209914,611129,female,穿搭,4,153165,2099,17.9w,1360.10 ,13.60 ,4.57,40,145,17天11时31分42秒
391,爱朴大码female装,dy3sr245pwtf,841090,female,穿搭,4,63895,1537,9.8w,1355.90 ,13.56 ,4.97,130,157,19天1时6分58秒
392,浩哥female装,107957000,657055,female,穿搭,4,217544,3994,12.7w,1355.20 ,13.55 ,4.82,30,543,6天17时18分31秒
393,翡师兄珠宝,csw8889999,439608,female,时尚,0,35370,1879,9532,1354.10 ,13.54 ,4.45,33,8461,25天20时15分10秒
394,昕昕严选（明天早上八点新品牌来咯～）,xxyanxuan,156705,female,穿搭,4,75054,8992,3.5w,1354.10 ,13.54 ,1.69,38,1106,6天23时31分13秒
395,李宁体育,198958222,3292667,female,穿搭,4,217961,6928,8.5w,1341.20 ,13.41 ,4.97,69,424,20天19时51分41秒
396,理肤泉,LarochePosay,153226,female,美妆,6,212603,7996,8.9w,1337.00 ,13.37 ,4.92,32,112,22天16时15秒
397,复古日记国风female装,mefound,1123805,female,穿搭,4,40719,1981,2.7w,1336.10 ,13.36 ,4.88,88,990,22天8时23分3秒
398,德御珠宝优选7.4日水晶南红,deyuzhubaoyx,62330,male,时尚,0,61152,832,5.2w,1336.30 ,13.36 ,4.68,20,4975,5天7时57分20秒
399,杨依姗（今晚休息）,3281726,1673814,female,网红美女,7,170845,3012,12.1w,1335.30 ,13.35 ,4.94,29,231,4天16时17分51秒
400,中顺洁柔旗舰店,JR18662908363,630635,female,种草,2,300158,9359,38.5w,1335.20 ,13.35 ,4.85,50,87,14天19时20分52秒
401,周六福珠宝官方旗舰店,Hkx3333,7203129,female,时尚,0,192386,4740,7.7w,1334.70 ,13.35 ,4.53,26,389,5天5时47分7秒
402,思懿-翡翠买手,Boomxiakalaka1,284737,female,,31,32252,1437,5.0w,1331.90 ,13.32 ,4.77,121,24543,24天17时5分10秒
403,大管家奢库,ANJLE888,453535,male,时尚,0,20149,363,1516,1328.30 ,13.28 ,4.84,96,3506,18天2时29分10秒
404,君君MG,Jayz0712,689907,female,种草,2,178561,4392,7.7w,1323.40 ,13.23 ,4.58,14,296,4天17时28分48秒
405,几米,289302113,1783551,female,美妆,6,361781,16158,26.1w,1322.70 ,34.04 ,4.94,19,149,2天19时32分15秒
406,小布家居,Miss.Y89,703186,female,家居,19,248850,10307,14.6w,1321.40 ,13.21 ,4.93,28,342,4天7时54分49秒
407,SOHO星光服饰（康老师个人号),2191844001,213545,male,穿搭,4,61085,2142,3.7w,1320.30 ,13.20 ,4.90,67,157,8天16时26分12秒
408,蜜客形象美学,mkxxmx1,1580270,female,时尚,0,112479,3939,6.1w,1319.80 ,13.20 ,4.93,16,276,2天4时53分49秒
409,TCH旗舰店,TCH56789,174889,female,穿搭,4,60707,1942,1.9w,1316.60 ,13.17 ,4.92,40,442,23天4时7分33秒
410,中国金（杰哥严选）,Xiaojiezgzb,164832,male,时尚,0,74521,12695,6.9w,1314.10 ,13.14 ,4.35,55,3472,3天7时40分59秒
411,简汌私人定制,paipaima050419,274433,female,穿搭,4,27919,1597,2.5w,1312.90 ,13.13 ,4.88,22,322,3天3时10分6秒
412,景德镇·墨舍茶瓷文化,moshe6666,116977,female,文学艺术,16,14142,769,1.3w,1312.80 ,13.13 ,4.86,112,15844,15天23时1分55秒
413,白白叶叶☀️7月6日20:00直播,yeyelovebaby,1431585,male,美妆,6,161092,8657,17.4w,1309.70 ,13.10 ,4.73,11,405,1天7时51分16秒
414,小小菲子酱 服饰,2153698987,1432545,female,穿搭,4,256022,8081,20.6w,1308.60 ,13.09 ,4.75,31,324,5天17时18分51秒
415,悠悠童话童装,98136196,1243375,male,穿搭,4,327028,7298,47.5w,1305.60 ,32.96 ,4.94,27,1747,1天22时19分6秒
116,喻可品牌female鞋,yuke2003,1090761,female,穿搭,4,125680,5179,16.9w,1301.60 ,13.02 ,4.80,35,219,14天13时18分20秒
417,LZY知音,LZYzhiyin,758412,female,穿搭,4,262311,3396,9.5w,1295.50 ,12.96 ,4.94,27,201,1天16时31分30秒
418,段希帆（每天早上6:00直播）,1849882099,2603592,female,舞蹈,21,272826,5924,41.7w,1293.90 ,12.94 ,4.92,27,670,6天2时25分46秒
419,九九在这,jiujiune,3104808,female,穿搭,4,191662,1669,9.0w,1291.90 ,12.92 ,4.97,18,62,2天12时41分35秒
420,CC兔🐰,cc88a,458441,female,穿搭,4,163089,13381,6.3w,1290.40 ,12.90 ,4.10,23,202,2天18时56分19秒
421,大洪洪（每周二、四、六早上8点开播）,Chuanda8389,1656960,female,穿搭,4,159884,2606,6.3w,1288.50 ,12.89 ,5.00,20,410,5天8时12分7秒
422,韩饭饭 7号中午12点庆典回馈粉丝,346932757,15501454,female,搞笑,14,322117,42165,19.7w,1288.00 ,12.88 ,4.55,63,211,3天15时45分56秒
423,小橙子先生,147187491,26161376,male,萌娃,20,1955166,115279,50.0w,1285.10 ,12.85 ,4.95,28,46,4天11时19秒
424,大希地,daxidi666,701327,female,美食,10,66080,2251,10.3w,1284.90 ,12.85 ,4.81,37,48,11天8时14分1秒
425,深圳兰瑟儿服饰(每天早上6:30直播）,Roosee.Ruoxi,376962,female,生活,5,107236,1782,4.3w,1283.90 ,12.84 ,4.98,30,512,5天6时58分12秒
126,姚姚严选服饰,970501061,621679,female,种草,2,157991,3479,6.9w,1278.20 ,12.78 ,4.91,26,440,6天12时39分21秒
427,欣妈是自贸区老板娘,xinma0888,216832,female,生活,5,89947,3524,14.5w,1274.00 ,12.74 ,4.92,27,1007,3天2时58分30秒
428,芝华仕沙发,CheersHome,273754,male,家居,19,69353,1949,1.4w,1273.80 ,12.74 ,4.02,39,221,25天21时30分51秒
429,是青青呀,wqq19930607,4814164,female,情感,9,229264,8082,6.0w,1273.30 ,12.73 ,4.78,19,56,2天9时27分23秒
430,三彩female装官方旗舰店,scdyzb2021,699175,female,穿搭,4,148207,2197,5.3w,1272.30 ,12.72 ,1.86,57,394,11天3时11分26秒
431,肯德基食货局（10:00直播）,KFC.778,1657541,female,美食,10,261086,7584,23.5w,1270.10 ,12.70 ,4.79,47,112,13天3时13分22秒
432,张皮皮玖黛衣官方旗舰店,zpp198,735757,female,穿搭,4,279252,15738,20.5w,1268.90 ,12.69 ,4.78,21,704,5天8时3分1秒
433,斯凯奇官方旗舰店,1018155428,302208,female,穿搭,4,117097,2505,4.4w,1268.80 ,12.69 ,4.80,39,79,12天9时13分1秒
434,孟溪（6点直播）,2060387224,351337,female,生活,5,109508,3412,3978,1266.00 ,12.66 ,4.89,13,1607,2天14时32分40秒
435,田娇baby服饰 中午12点半上新,Tian19940212,628492,female,网红美女,7,70557,3509,6.5w,1264.90 ,12.65 ,5.00,42,258,6天15时59分27秒
436,努尔_Emily,1241023303,710011,female,生活,5,381718,47052,23.5w,1263.70 ,12.64 ,4.93,32,79,3天23时17分36秒
437,物空（正在福利大直播）,lookun,1181313,female,穿搭,4,178606,3637,18.2w,1263.10 ,12.63 ,4.89,25,551,7天5时8分37秒
438,TCH潮牌,TCH55667788,121850,female,穿搭,4,44328,1733,1.9w,1262.60 ,12.63 ,1.96,42,136,23天2时42分49秒
439,十七（果果家）嫚维,392340919,2038287,female,穿搭,4,274229,1631,10.4w,1261.30 ,12.61 ,4.84,20,269,3天20时48分55秒
440,桔夕奢侈品B,ppsd2222,406141,male,情感,9,71048,619,2382,1260.10 ,12.60 ,4.57,51,3090,29天6时45分14秒
441,韩束官方旗舰店-推荐官,Kans_SiknCare,127570,female,美妆,6,50365,1611,5.9w,1259.00 ,12.59 ,4.85,35,90,11天17时57分44秒
442,萱妍珠宝,xyzb168168168,81546,male,时尚,0,45074,4288,14.0w,1258.50 ,12.59 ,4.40,52,4502,4天2时34分40秒
443,瓦莎路亚羊绒服饰,wasaluya,108394,female,穿搭,4,17366,865,1.4w,1257.10 ,12.57 ,4.93,54,259,9天14时40分15秒
444,龙公子（承蒙厚爱）,Long.GZ,1375099,male,生活,5,57258,4218,4.5w,1251.70 ,12.52 ,4.77,24,608,2天6时53分4秒
445,哦王小明,owangxiaoming,2116332,female,美妆,6,286753,7305,9.9w,1243.40 ,32.96 ,4.95,5,95,23时52分1秒
446,善缘大志,milajie001,87509,female,时尚,0,35879,1584,2.8w,1242.60 ,12.43 ,4.04,8,488,1天2时38分21秒
447,茉莉珠宝,molizb,55776,female,时尚,0,60302,20649,7.1w,1240.40 ,12.40 ,4.59,11,819,2天8时39分9秒
448,乔印服饰 每晚19点开播,qiaoyinfushi,116968,female,穿搭,4,101945,2954,10.0w,1238.60 ,12.39 ,4.94,31,618,4天11时23分57秒
449,科沃斯机器人,ECOVACS_,261015,male,科技,1,16222,259,3935,1236.80 ,12.37 ,4.51,40,29,17天12时36分26秒
450,海涛大叔卫衣,haitaodashu7,287491,male,穿搭,4,107873,3651,28.1w,1236.00 ,12.36 ,4.95,65,915,11天9时54分52秒
451,昌萍海产品,ZS333333..,1705727,female,美食,10,92015,12137,10.9w,1235.80 ,12.36 ,5.00,69,39,4天2时29分58秒
452,ＫＫ穿搭,7717wk,755170,female,穿搭,4,296990,8733,31.6w,1234.70 ,12.35 ,1.68,60,117,15天20时6分9秒
453,丽丽平床品经营部,337922939,569355,female,种草,2,133700,7577,1.6w,1232.20 ,12.32 ,4.89,30,174,3天21时49分7秒
454,恩克,enke0000,6473625,male,生活,5,725056,36528,9.4w,1231.20 ,12.31 ,4.78,12,71,1天20时16分14秒
455,黑白故事旗舰店,cdf198308,249123,female,生活,5,138008,28458,17.4w,1229.50 ,12.30 ,4.73,47,565,3天14时26分29秒
156,欧辰MG,Ouchen999,579554,male,种草,2,215062,7817,7.1w,1216.10 ,12.16 ,4.51,15,297,5天2时20分37秒
457,Davida,DavidaYu,669966,female,穿搭,4,314735,5897,9.7w,1215.70 ,12.16 ,4.80,17,569,3天14时20分13秒
458,Ulike,786613996,161525,female,种草,2,35749,292,8257,1214.50 ,12.15 ,4.84,36,12,19天7时54分27秒
459,橘子罐头卫卫,juziguantouw,739175,female,穿搭,4,242124,10080,14.5w,1214.00 ,25.93 ,4.90,19,328,3天12时33分26秒
160,哈軒翡翠,hxfc,2779095,female,种草,2,82799,1382,27.9w,1208.10 ,25.75 ,4.75,53,6391,17天12时55分1秒
161,大C盼(新款周二大上新,daCpanzaosha,399251,female,穿搭,4,117599,6512,12.1w,1204.50 ,25.72 ,4.81,40,402,5天5时11分16秒
162,道上都叫我赤木刚宪,212861873,5919442,female,美妆,6,323625,9408,15.8w,1203.60 ,25.61 ,4.79,16,268,2天6时16分1秒
463,恒实工厂店,Hengshi8,190519,female,生活,5,25386,1303,2.1w,1201.60 ,12.02 ,4.92,78,14122,28天10时1分45秒
464,小花奢侈品F,hanaluxury,54545,female,时尚,0,11092,237,725,1200.80 ,12.01 ,4.55,84,3868,16天20时15分53秒
165,名港原创高端female装,1881mgsz,223494,female,穿搭,4,135155,5154,17.4w,1199.20 ,25.23 ,4.95,25,765,4天22时21分48秒
466,小丹丹老师（韩贝丹品牌CEO）早上6点播,guangzhou518,364062,female,生活,5,41303,4148,7.3w,1194.90 ,11.95 ,4.75,49,46,4天3时33分7秒
167,千羽服饰,qianyufushi6,607251,female,穿搭,4,237851,8185,8.2w,1193.70 ,25.06 ,1.6,76,258,21天15时25分17秒
468,环佩玎当,MY_MAGIC,1374122,female,情感,9,133751,2228,4.7w,1189.50 ,11.90 ,4.89,17,211,3天10时12分55秒
169,榜序文化传媒有限公司,cuihua1118,1427775,female,穿搭,4,250355,32759,32.8w,1189.40 ,11.89 ,4.88,57,331,1天11时26分31秒
470,老徐翡翠,1826150300,48213,female,时尚,0,43758,1754,2.2w,1188.00 ,11.88 ,4.33,41,26486,25天8时21分17秒
471,芭莎时尚female装,Bs1587777777,423943,female,穿搭,4,667198,1617,2.9w,1187.60 ,11.88 ,4.79,8,1279,20天8时32分56秒
472,灯小炮穿搭馆,Pao2225,104715,female,生活,5,92501,3078,11.3w,1185.30 ,11.85 ,4.98,29,1401,5天23时1分14秒
473,叶子形体礼仪,wxy2020520520,1692263,female,体育,18,329646,33887,21.1w,1184.80 ,11.85 ,4.80,58,144,7天3时9分54秒
474,王炸夫妻在日本,WZFQ,4628909,female,生活,5,131518,6914,13.5w,1184.60 ,11.85 ,4.94,27,273,3天6时31分29秒
475,蜜蜂珠宝,mifengzhubao8888,98957,female,时尚,0,97490,3598,16.5w,1171.90 ,11.72 ,4.75,29,6286,6天16时13分17秒
476,茗芬茶业,V13362052163,425571,male,生活,5,71876,10933,4.6w,1166.00 ,11.66 ,4.94,26,115,5天18时58分9秒
477,-张越今晚9点每隔8分钟9毛秒4W按摩椅,6109315,7431372,male,种草,2,141328,31365,17.7w,1163.90 ,11.64 ,4.75,53,103,2天22时15分58秒
478,雨神⁸¹⁹NTC,GDYS88888,7533469,male,音乐,13,1686365,529205,15.8w,1162.10 ,11.62 ,3.74,6,85,1天8时11分14秒
479,赶海父子（霞浦海鲜）,ganhaifuzi,1307795,male,美食,10,2518591,18872,12.3w,1160.20 ,11.60 ,4.99,43,18,16天17时40分10秒
480,潮宏基官方旗舰店,CHJCHJ2021,99902,female,时尚,0,92423,3737,3.0w,1159.70 ,11.60 ,4.99,35,218,5天9时10分57秒
481,杜雨潼 （今天16:00设计师张帅）,duyutong919,111094,female,穿搭,4,61887,1328,2.1w,1157.00 ,11.57 ,4.91,22,1659,1天16时36分12秒
482,格格（宋歌）6号15:00熙禾天心🧥,songge3333,244131,female,穿搭,4,45954,1839,3.8w,1157.00 ,11.57 ,4.79,17,611,3天36分57秒
483,勤玉珠宝,Zjmd168,379372,female,时尚,0,27521,1571,1991,1154.80 ,11.55 ,4.98,74,7,27天9时34分58秒
484,海尔官方直播间,Haier_zbj,613001,male,生活,5,118758,2523,3837,1153.20 ,11.53 ,3.70,37,99,14天13时16分1秒
485,萱子服饰,xuanzi10088,1392021,female,穿搭,4,147887,2502,6.9w,1149.20 ,23.09 ,4.54,59,222,22天11时56分19秒
186,KOKOWANG欧货7月3，13:00播,COCOWANG2,182853,female,穿搭,4,177915,2501,4.4w,1148.40 ,11.48 ,5.00,6,352,1天14时43分54秒
487,金巧巧🌟今晚7点《中国医生》首映礼,1268290710,673667,female,舞蹈,21,292287,18481,3.1w,1147.00 ,11.47 ,4.72,6,161,2天7时29分14秒
488,张老虎🐯 阿迪达斯♨️全国大仓开放日！,Zhanglaohu1987,2661781,male,种草,2,365822,7682,9.2w,1144.10 ,11.44 ,4.71,14,665,1天23时56分13秒
489,芦芦老板娘,32419814,126210,female,穿搭,4,25543,3582,2.5w,1143.90 ,11.44 ,4.98,23,563,1天7时50分12秒
490,安踏儿童官方旗舰店,ANTAKIDS2021,171565,female,穿搭,4,208352,7152,18.2w,1142.90 ,11.43 ,4.90,44,155,21天1时53分40秒
491,奢姿大码female装官方旗舰店,shezi269,820384,female,穿搭,4,50347,1543,8.1w,1141.90 ,11.42 ,4.93,133,256,21天12时15分17秒
492,凌博士旗舰店,Proflingstore,76120,female,美妆,6,30806,216,4.3w,1139.80 ,11.40 ,5.00,31,39,18天16时1分1秒
493,百丽male鞋旗舰店,BELLEnanxie2021,280494,male,穿搭,4,88510,2082,3.2w,1133.00 ,11.33 ,4.57,71,86,14天18时7分38秒
494,潮爸刘教授,drliu,2474660,male,母婴育儿,15,165983,7146,15.0w,1133.00 ,11.33 ,4.95,22,159,3天17时4分29秒
495,田恬MARYME,MARYMEACC,327790,female,网红美女,7,242699,15484,14.4w,1128.20 ,11.28 ,4.97,37,164,3天19时29分27秒
196,迪迪来了🐳,1277028180,337943,female,穿搭,4,68035,3384,2.7w,1124.20 ,11.24 ,1.66,27,1206,5天19时17分31秒
497,华夏中联投资发展,duanshipin518,127949,male,种草,2,109591,12566,10.6w,1123.10 ,11.23 ,4.58,22,265,2天3分29秒
498,陌妆钟钟桑蚕丝羊绒,MOZAL,137206,female,穿搭,4,79266,2211,3.7w,1121.40 ,11.21 ,4.93,29,580,7天2时25分54秒
499,广州大缘,ycm332,1392300,female,穿搭,4,345387,12580,27.3w,1115.40 ,11.15 ,4.99,15,1517,2天4时35分19秒
500,AlooooohaVintage中古店,Aloooooha27,283155,female,穿搭,4,17691,251,714,1113.30 ,11.13 ,1.96,53,2300,14天17时52分27秒
501,玉匠人-老板娘甜心,yjr616,54150,female,时尚,0,32636,3175,1.7w,1112.80 ,11.13 ,4.62,31,1507,3天13时24分10秒
502,原木工艺品,YM_9900,336991,female,手工手绘,26,196242,15933,30.3w,1111.90 ,11.12 ,4.87,29,2895,4天20时12分40秒
503,绿子💚专播商场品牌female装！（休息中）,dyqrajvrj788,296570,female,穿搭,4,183625,1856,7.2w,1111.20 ,11.11 ,4.90,16,772,2天23时56分32秒
504,马乖,mg8882898,453353,female,穿搭,4,95584,2826,6.2w,1109.50 ,11.10 ,4.99,19,178,4天1时20分3秒
505,高姐珠宝💎,LC54545,50802,female,,31,33765,3410,6.4w,1109.20 ,11.09 ,4.31,60,2726,4天21时26分41秒
506,杭州克代尔棉麻female装,MMNZ1989,1098859,female,穿搭,4,102016,5080,23.3w,1108.40 ,11.08 ,4.83,56,65,19天21时6分32秒
507,江南凤羽,fy16168768,292716,female,穿搭,4,76970,2316,2.0w,1108.00 ,11.08 ,4.97,26,296,5天16时9分11秒
508,王浪浪珠宝【6号7号休息，准备新款】,laowangzhubao1,36312,female,时尚,0,30088,570,2.2w,1102.20 ,11.02 ,4.95,28,4222,6天4时4分3秒
509,安踏儿童旗舰店,antakids888888,775136,female,穿搭,4,182700,6082,13.6w,1101.50 ,11.02 ,4.85,39,297,22天21时7分24秒
510,清华妈妈马兰花,lanhuamum2020,1910407,female,种草,2,129520,12981,13.6w,1100.50 ,11.01 ,4.91,34,595,6天22时36秒
511,海澜之家内衣旗舰店,HLA_life,190913,female,穿搭,4,58174,1585,14.3w,1098.40 ,10.98 ,4.93,35,93,18天18时10分54秒
512,大小姐 TRACYCHU,tracylittleworld,621517,female,穿搭,4,71941,1826,6636,1097.80 ,10.98 ,5.00,8,299,1天20时28分6秒
513,暖言配饰🥰基地发货 一物一证,gang3322,604149,female,时尚,0,185925,5384,13.5w,1095.30 ,10.95 ,4.41,30,4410,4天21时19分50秒
514,妃鱼名表,feiyu889988,142033,female,种草,2,8299,389,1993,1094.80 ,10.95 ,4.04,110,7541,21天14时19分9秒
515,自然堂官方旗舰店（年中回馈）,chando_store,417541,female,美妆,6,113326,2318,4.7w,1093.30 ,10.93 ,4.91,39,131,15天10时19分29秒
516,郑明明CHENGMINGMING化妆品,2166666059,101186,female,美妆,6,50590,985,5.2w,1092.40 ,10.92 ,4.90,32,13,9天17时51分19秒
517,聪聪～严选珠宝,JY66889911,175036,female,时尚,0,101478 ,6803,13.7w,1087.00 ,10.87 ,4.74,17,3050,3天9分7秒
518,橙子家居【冲200万粉丝专场福利】,dyn75fn71drq,1817267,female,穿搭,4,638228,15657,15.4w,1084.70 ,10.85 ,4.13,54,143,13天21时57分54秒
519,朴夫人衣馆,hgfr666,629133,female,穿搭,4,54901,1452,4.3w,1083.20 ,10.83 ,4.98,44,471,4天12时27分3秒
520,艾依裳服饰(6～21点直播）,AYS66688888,509124,female,穿搭,4,306861,3367,7.9w,1076.30 ,10.76 ,4.57,36,61,21天15时9分
521,糯米（页梵服饰）,muyouzi8889999,331155,female,穿搭,4,144474,5106,11.0w,1074.90 ,10.75 ,1.86,35,306,6天3时23分19秒
522,蕉下旗舰店,123jiaoxia,116222,female,种草,2,139317,2851,7.9w,1074.80 ,10.75 ,4.97,28,91,9天1时53分37秒
523,大咖studio,268381212,1403288,female,穿搭,4,93903,8753,5.6w,1073.30 ,10.73 ,1.63,56,5311,19天15时44秒
524,大林-高奢female装（每天早上5：00 开播）,try_55555555,63735,female,穿搭,4,71134,2043,2.0w,1073.00 ,10.73 ,4.93,26,197,1天23时19分26秒
525,米拉奇珠宝首饰,MILAQI,266789,female,时尚,0,59210,906,4.9w,1071.60 ,10.72 ,4.97,68,13046,16天20时54分53秒
526,大唐珠宝,179930984,22101,male,时尚,0,20973,562,9631,1068.70 ,10.69 ,4.98,18,2019,3天18时9分58秒
527,白玉世家品牌购（明天早上8点开播）,bysj666888,30521,female,时尚,0,41224,1376,2.6w,1068.70 ,10.69 ,5.00,14,1873,2天20时16分2秒
528,一一翡翠,yy06078,27218,female,,31,17456,195,5162,1064.10 ,10.64 ,4.77,53,3593,16天41分59秒
529,达银佳：直播中,dy9e7y0888f1,418838,female,时尚,0,58207,2248,6.7w,1062.80 ,10.63 ,4.99,57,14568,12天9时6分46秒
530,胖虎佳姐天后团-7.6号21点直播,ponhu002,56065,female,时尚,0,13853,255,601,1060.60 ,10.61 ,4.88,19,551,3天17时38分12秒
531,大肚子油油,daduziyoyo,1887118,female,美妆,6,309562,10883,22.1w,1057.20 ,10.57 ,4.94,29,314,3天20时35分42秒
532,萃颐丰 紫砂研创,cuiyifeng_0099,34533,female,手工手绘,26,17147,611,5360,1057.10 ,10.57 ,4.75,28,5805,6天14时14分30秒
533,哥弟GIRDEAR旗舰店,GIRDEAR_ZDH,167959,female,穿搭,4,125356,2713,3.6w,1055.40 ,10.55 ,4.80,47,258,18天16时22分58秒
534,胡轩108服饰,huxuan108,1961270,male,穿搭,4,118863,7942,19.4w,1054.70 ,10.55 ,4.58,111,503,17天2时16分
535,溶溶Zero❤️今天早上直播,huoxing7868,516200,female,穿搭,4,118851,2603,10.0w,1053.60 ,10.54 ,4.95,20,542,3天20时42分44秒
536,大叔家有4条龙,SIGEERZIDEBABA,1181812,male,生活,5,171207,27462,4.4w,1052.20 ,10.52 ,4.58,14,78,3天21时53分54秒
537,雪莉蕾拉设计师品牌,xiaodouni668,227043,female,穿搭,4,187817,8127,25.9w,1051.40 ,10.51 ,4.90,34,63,5天9时34分43秒
538,莹子（苏小安妮品牌CEO）,yaomiaosha,469814,female,网红美女,7,94269,4130,10.1w,1051.30 ,10.51 ,4.76,29,91,4天13时32秒
