ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,人数峰值,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
53,凤栖梧香云纱(高薪招主播),FXWFXW,1391299,female,穿搭,4,319679,3005,10.8w,5069.90 ,50.70 ,4.78,55,239,25天11时17分38秒
54,九儿female装1号店,Jiuer.9999999,557440,female,穿搭,4,350632,11005,47.1w,5011.10 ,50.11 ,4.99,41,344,6天12时20分21秒
55,胖虎二手奢侈品,Ponhu,361320,female,时尚,0,26138,1575,8300,4963.50 ,49.64 ,4.89,108,4151,22天7时51分31秒
56,妖精的口袋ELFSACK官方旗舰店,elfsack,1152837,female,穿搭,4,479790,5185,37.3w,4898.00 ,48.98 ,4.91,53,591,19天22时1分13秒
57,洛哥❤️小休一天！,lluo9527,553288,female,穿搭,4,235698,6197,22.3w,1896.00 ,18.96 ,5.00,21,838,1天21时56分18秒
58,小熊出没7.6号5点超多新款！给力,xiaoxiong6188,252549,female,穿搭,4,163991,4542,13.3w,4895.00 ,48.95 ,4.93,29,1589,5天20时33分15秒
59,马帅归来｜下一场，疯掉！,PgyMa,1314758,male,种草,2,361831,30524,19.4w,4888.20 ,48.88 ,4.77,16,256,2天18时54分12秒
60,小影夫妇第二季奢品宠粉节周四12点直播,xiaoying198312,7201633,female,生活,5,2024196,151298,174.7w,4856.80 ,48.57 ,4.93,9,221,1天5时16分24秒
61,南通自在家纺,zizaijia888,1221716,male,种草,2,701991,14094,22.6w,4732.70 ,47.33 ,1.62,34,177,8天6时26分13秒
62,石力派翡翠,724937209,134427,male,时尚,0,81435,1482,1.3w,4689.60 ,46.90 ,4.77,38,7287,25天10时7分2秒
63,大鱼—8号纯绒盛宴❤️今年首发开炸💥,DY0221x,502248,female,穿搭,4,169117,5108,14.2w,1668.50 ,48.57 ,4.91,15,678,2天16时26分11秒
61,海莉（实力宠粉）,haili1347,2985040,female,美妆,6,1057217,261631,68.0w,1655.60 ,16.56 ,4.89,27,177,5天1时59分6秒
65,瑞妮Renee,hanna2018_666,275221,female,种草,2,127289,2229,1.5w,4547.80 ,45.48 ,4.99,19,1552,4天11时55分24秒
66,小马吃草,1645659986,7502059,male,美食,10,6404843,127741,101.3w,4538.80 ,45.39 ,4.77,5,176,19时35分52秒
